epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,2.81192,3.63878,0.00078,0.00131,0.00104,0.00041,5e-05
2,2.14732,3.26902,0.00273,0.00116,0.00194,0.00098,5e-05
3,1.70325,3.04636,0.00374,0.00073,0.00223,0.00105,5e-05
4,1.49111,3.11227,0.00037,0.00042,0.00039,0.00086,5e-05
5,1.55084,2.89507,0.00501,0.00095,0.00298,0.00147,5e-05
6,nan,2.97054,0.00171,0.00088,0.0013,0.00147,5e-05
7,1.41662,2.91042,0.00058,0.00285,0.00172,0.00192,5e-05
8,1.41149,2.74565,0.00119,0.00173,0.00146,0.00169,5e-05
9,1.43929,2.69027,0.00054,0.00065,0.0006,0.00207,5e-05
10,1.3012,2.64223,0.00241,0.00053,0.00147,0.0018,5e-05
11,nan,2.82041,0.00133,0.00043,0.00088,0.00155,5e-05
12,1.33988,2.59379,0.00155,0.00054,0.00104,0.00188,5e-05
13,1.35261,2.52317,0.00173,0.00087,0.0013,0.00193,5e-05
14,1.24348,2.50148,0.00256,0.00065,0.00161,0.00199,5e-05
15,1.23618,2.57017,0.00122,0.00072,0.00097,0.00178,5e-05
16,1.24149,2.53015,0.00307,0.00046,0.00177,0.00218,5e-05
17,nan,2.25804,0.00241,0.00106,0.00173,0.00207,5e-05
18,1.12305,2.19687,0.00281,0.0011,0.00195,0.00225,5e-05
19,1.11482,2.14943,0.00287,0.00097,0.00192,0.00248,5e-05
20,1.08018,2.2449,0.00056,0.00249,0.00152,0.00248,5e-05
21,nan,2.3341,0.00247,0.00035,0.00141,0.0025,5e-05
22,1.10661,2.10623,0.0026,0.00123,0.00192,0.00229,5e-05
23,1.04804,2.05958,0.00027,0.0007,0.00048,0.00227,5e-05
24,nan,2.08318,0.00211,0.00065,0.00138,0.00262,5e-05
25,1.10541,2.52294,0.00119,0.00027,0.00073,0.00297,5e-05
26,1.083,2.04849,0.00498,0.00016,0.00257,0.00326,5e-05
27,nan,1.92183,0.00562,0.00109,0.00336,0.00302,5e-05
28,0.96027,1.86759,0.00161,0.00113,0.00137,0.00314,5e-05
29,0.97957,1.81011,0.00759,0.00117,0.00438,0.00395,5e-05
30,0.91895,2.3255,0.00076,0.00024,0.0005,0.00341,5e-05
31,1.04867,1.8366,0.00086,0.00052,0.00069,0.00337,5e-05
32,1.02614,1.88929,0.00083,0.00035,0.00059,0.00357,5e-05
33,0.98698,1.85689,0.00073,0.00088,0.0008,0.0033,5e-05
34,1.02108,1.7962,0.00421,0.00045,0.00233,0.00371,2.5e-05
35,0.88042,1.7406,0.00511,0.00033,0.00272,0.00394,2.5e-05
36,0.87549,1.79745,0.00094,0.00033,0.00063,0.00307,2.5e-05
37,0.88005,1.72072,0.00328,0.00025,0.00177,0.00365,2.5e-05
38,0.83609,1.67789,0.00119,0.00025,0.00072,0.0034,2.5e-05
39,0.84165,1.67169,0.00211,0.00037,0.00124,0.00328,2.5e-05
40,0.76161,1.69455,0.00081,0.00032,0.00056,0.0029,2.5e-05
41,0.80025,1.57565,0.00486,0.00052,0.00269,0.0036,2.5e-05
42,0.76236,1.63571,0.00512,0.00055,0.00284,0.00326,2.5e-05
43,0.76573,1.68591,0.00179,0.00048,0.00113,0.00312,2.5e-05
44,0.83377,1.65355,0.00029,0.00028,0.00028,0.00266,2.5e-05
45,0.81395,1.58369,0.005,0.0004,0.0027,0.00346,2.5e-05
46,0.7547,1.58174,0.00355,0.00049,0.00202,0.00319,1.25e-05
47,0.71382,1.59402,0.00403,0.00038,0.0022,0.0031,1.25e-05
48,0.68675,1.52308,0.00428,0.0006,0.00244,0.00324,1.25e-05
49,nan,1.66007,0.00111,0.00026,0.00068,0.00273,1.25e-05
50,0.71972,1.60302,0.00206,0.00099,0.00152,0.00298,1.25e-05
51,0.68792,1.585,0.00373,0.00043,0.00208,0.00292,1.25e-05
52,0.71123,1.57981,0.00231,0.0004,0.00136,0.00289,1.25e-05
53,0.67696,1.56031,0.00308,0.00052,0.0018,0.00319,6.25e-06
54,0.655,1.54024,0.00461,0.00081,0.00271,0.00349,6.25e-06
55,0.70628,1.55017,0.00433,0.00072,0.00253,0.00311,6.25e-06
56,0.62794,1.56554,0.00264,0.00073,0.00169,0.00306,6.25e-06
57,nan,1.56627,0.0028,0.00058,0.00169,0.003,3.13e-06
58,0.62943,1.56092,0.00097,0.00039,0.00068,0.00273,3.13e-06
59,0.5977,1.55998,0.00311,0.00052,0.00181,0.00293,3.13e-06
60,0.62584,1.56054,0.0022,0.0006,0.0014,0.00289,3.13e-06
61,0.6932,1.59575,0.00233,0.00051,0.00142,0.00289,1.56e-06
62,0.68001,1.60661,0.00274,0.00037,0.00156,0.00298,1.56e-06
63,0.64288,1.54116,0.0026,0.00056,0.00158,0.00308,1.56e-06
64,0.656,1.58741,0.00186,0.00056,0.00121,0.00295,1.56e-06
65,0.62645,1.58231,0.00254,0.00051,0.00153,0.00293,7.8e-07
66,0.62206,1.57822,0.00229,0.00052,0.0014,0.0031,7.8e-07
67,0.66075,1.56547,0.003,0.00059,0.0018,0.00302,7.8e-07
68,nan,1.55186,0.00273,0.00066,0.0017,0.00306,7.8e-07
