epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,11.71304,5.26082,0.00139,0.00033,0.00086,0.00072,3e-05
2,4.80587,4.61635,0.003,0.00051,0.00175,0.00133,3e-05
3,4.14428,4.90559,0.00178,0.00048,0.00113,0.00112,3e-05
4,3.89896,4.14274,0.00115,0.00053,0.00084,0.00114,3e-05
5,3.42492,3.8783,0.00168,0.00049,0.00108,0.00234,3e-05
6,3.25745,3.6975,0.00076,0.00126,0.00101,0.00198,3e-05
7,3.06251,3.5415,0.00074,0.00043,0.00058,0.00283,3e-05
8,2.78352,3.62331,0.00088,0.00062,0.00075,0.0022,3e-05
9,2.62148,3.18778,0.00063,0.00049,0.00056,0.00263,3e-05
10,2.41694,3.08705,0.00102,0.0003,0.00066,0.00317,3e-05
11,2.50437,3.08274,0.00112,0.00072,0.00092,0.00316,3e-05
12,2.27616,2.98568,0.00113,0.00024,0.00068,0.00257,3e-05
13,2.04025,2.89287,0.00074,0.00108,0.00091,0.00285,3e-05
14,2.08182,3.02115,0.00105,0.00043,0.00074,0.0027,3e-05
15,1.87462,2.9288,0.00149,0.00062,0.00105,0.00289,3e-05
16,1.69544,3.0437,0.00104,0.00041,0.00072,0.00231,3e-05
17,1.51764,2.82026,0.00059,0.00017,0.00038,0.00313,3e-05
18,1.67634,2.78297,0.00124,0.00021,0.00072,0.00316,3e-05
19,1.65752,3.10172,0.00124,0.00019,0.00072,0.0026,3e-05
20,1.37534,2.92626,0.00341,0.00052,0.00196,0.00412,3e-05
21,1.48578,2.48035,0.00306,0.00036,0.00171,0.00323,3e-05
22,1.45797,2.51076,0.00252,0.00026,0.00139,0.0038,3e-05
23,1.55131,2.48183,0.00227,0.00029,0.00128,0.00343,3e-05
24,1.33468,2.64405,0.00554,0.00114,0.00334,0.00334,3e-05
25,1.38139,2.71058,0.00218,0.00031,0.00125,0.00368,3e-05
26,1.44362,2.89662,0.00368,0.00032,0.002,0.0038,3e-05
27,1.30239,2.71426,0.00294,0.00042,0.00168,0.00323,3e-05
28,1.21401,2.59119,0.00234,0.00041,0.00138,0.00436,3e-05
29,1.23039,2.58724,0.00244,0.0003,0.00137,0.00404,3e-05
30,1.22319,2.36704,0.0013,0.00043,0.00087,0.0044,3e-05
31,1.10934,2.78524,0.0011,0.00032,0.00071,0.00381,3e-05
32,1.18072,2.60018,0.00356,0.00063,0.00209,0.00349,3e-05
33,1.12707,2.67949,0.00202,0.00016,0.00109,0.00378,3e-05
34,1.19888,2.69125,0.00334,0.00039,0.00187,0.00462,3e-05
35,1.08091,2.64037,0.00192,0.00049,0.0012,0.00424,3e-05
36,1.04592,2.63129,0.00129,0.00035,0.00082,0.0037,3e-05
37,0.98294,2.87026,0.00075,0.00027,0.00051,0.00411,3e-05
38,1.12876,2.60589,0.00215,0.00022,0.00118,0.00389,3e-05
39,1.1344,2.58789,0.00156,0.00039,0.00098,0.00419,3e-05
40,0.94559,2.81382,0.00271,0.00064,0.00167,0.00566,3e-05
41,0.89056,2.32373,0.00287,0.00035,0.00161,0.00452,3e-05
42,1.00266,2.7806,0.00464,0.00025,0.00244,0.0039,3e-05
43,0.88657,2.63365,0.00215,0.00046,0.0013,0.00459,3e-05
44,0.92176,2.78123,0.00187,0.00044,0.00116,0.00468,3e-05
45,0.98583,2.548,0.00056,0.00057,0.00056,0.00598,3e-05
46,1.09732,2.55598,0.00191,0.00044,0.00117,0.00434,3e-05
47,0.85333,2.58363,0.00574,0.00026,0.003,0.00509,3e-05
48,0.7476,2.56571,0.00209,0.00055,0.00132,0.006,3e-05
49,0.80638,2.59549,0.0047,0.00074,0.00272,0.00516,3e-05
50,1.07383,2.74795,0.00139,0.00022,0.00081,0.00576,3e-05
51,0.89786,2.60103,0.00105,0.00034,0.00069,0.00588,3e-05
52,1.20164,2.05542,0.00117,0.00045,0.00081,0.00568,3e-05
53,0.82409,2.30828,0.00197,0.00022,0.0011,0.00443,3e-05
54,0.78595,2.54363,0.00222,0.00037,0.00129,0.00492,3e-05
55,0.68419,2.69243,0.00277,0.00053,0.00165,0.00652,3e-05
56,0.78829,2.56564,0.00256,0.0007,0.00163,0.00603,3e-05
57,0.94653,2.52955,0.00182,0.00061,0.00121,0.00598,3e-05
58,0.86437,2.38066,0.00133,0.00049,0.00091,0.00604,3e-05
59,0.62979,2.63339,0.00204,0.00058,0.00131,0.00521,3e-05
60,0.72247,2.35943,0.00585,0.00167,0.00376,0.00544,3e-05
61,0.8063,1.90002,0.00352,0.00057,0.00204,0.00527,3e-05
62,0.73604,2.26865,0.00362,0.00098,0.0023,0.00786,3e-05
63,0.87551,2.05504,0.00315,0.00086,0.00201,0.00767,3e-05
64,0.65529,2.29252,0.0021,0.00083,0.00147,0.008,3e-05
65,0.76717,2.7104,0.00161,0.00029,0.00095,0.00541,3e-05
66,0.59475,2.53422,0.00246,0.00045,0.00146,0.00717,3e-05
67,0.69734,2.43745,0.0045,0.00067,0.00258,0.00697,3e-05
68,0.61658,2.54305,0.00111,0.00119,0.00115,0.00751,3e-05
69,0.62792,2.55973,0.00048,0.00087,0.00067,0.00712,3e-05
70,0.54099,2.46887,0.00254,0.00162,0.00208,0.0065,3e-05
71,0.65841,2.67339,0.0022,0.00095,0.00158,0.0096,3e-05
72,0.52243,2.42256,0.00072,0.001,0.00086,0.00918,3e-05
73,0.54266,2.66081,0.00117,0.00056,0.00086,0.00682,3e-05
74,1.10179,2.77993,0.00069,0.00046,0.00057,0.0121,3e-05
75,0.59677,2.57375,0.00139,0.00091,0.00115,0.01051,1.5e-05
76,0.49283,2.55363,0.00068,0.00061,0.00064,0.01209,1.5e-05
77,0.52447,2.52963,0.00113,0.00065,0.00089,0.01169,1.5e-05
78,0.80361,2.44071,0.00103,0.00072,0.00088,0.00929,1.5e-05
79,0.51347,2.46864,0.00219,0.00118,0.00169,0.01252,1.5e-05
80,0.59822,2.39932,0.0019,0.00057,0.00123,0.01074,1.5e-05
81,0.77435,2.43101,0.00228,0.0006,0.00144,0.01009,1.5e-05
82,0.51191,2.30485,0.001,0.00103,0.00102,0.00976,1.5e-05
83,0.43842,2.51382,0.0013,0.00086,0.00108,0.01246,1.5e-05
84,0.5579,2.48941,0.00079,0.00066,0.00073,0.01203,1.5e-05
85,0.43074,2.49644,0.00333,0.00077,0.00205,0.01131,1.5e-05
86,0.4942,2.47813,0.00051,0.00054,0.00052,0.00915,1.5e-05
