epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.44988,3.92709,4e-05,0.00031,0.00018,0.0001,3e-05
2,2.63237,3.76311,0.00012,0.00029,0.0002,0.0003,3e-05
3,2.27693,3.88955,0.00377,0.00012,0.00195,0.00086,3e-05
4,2.15306,3.67233,0.00043,0.00165,0.00104,0.00075,3e-05
5,2.09086,3.75265,0.00041,0.00559,0.003,0.00262,3e-05
6,1.97246,3.4018,0.0017,0.00728,0.00449,0.00192,3e-05
7,1.763,3.26324,0.00017,0.00555,0.00286,0.00243,3e-05
8,1.70342,3.2203,0.00201,0.00739,0.0047,0.00386,3e-05
9,1.60745,3.19077,0.00035,0.00436,0.00236,0.00334,3e-05
10,1.46061,3.46446,0.00144,0.00452,0.00298,0.00539,3e-05
11,1.48589,3.16448,0.00053,0.00989,0.00521,0.00358,3e-05
12,1.38066,2.90665,0.00078,0.00592,0.00335,0.00315,3e-05
13,1.37025,2.80786,0.00109,0.00622,0.00366,0.00327,3e-05
14,1.27928,2.73287,0.00019,0.00526,0.00272,0.0038,3e-05
15,1.29531,2.51848,0.00141,0.00517,0.00329,0.00379,3e-05
16,1.32935,2.42695,0.00284,0.00598,0.00441,0.00385,3e-05
17,nan,2.5421,0.00016,0.00541,0.00279,0.00357,3e-05
18,1.25218,2.39082,0.00825,0.01199,0.01012,0.00364,3e-05
19,1.12594,2.32545,0.00089,0.00369,0.00229,0.00351,3e-05
20,1.09569,2.31592,0.00578,0.00452,0.00515,0.0033,3e-05
21,1.13846,2.18542,0.0004,0.00182,0.00111,0.00295,3e-05
22,1.09537,2.19702,0.00048,0.00333,0.00191,0.00322,3e-05
23,1.00543,2.2397,0.00047,0.00184,0.00115,0.00357,3e-05
24,0.97081,2.20936,0.0012,0.00359,0.00239,0.00342,3e-05
25,1.02186,2.17101,0.00024,0.00129,0.00076,0.0042,3e-05
26,0.94977,2.11468,0.00036,0.00087,0.00062,0.0032,3e-05
27,0.84948,2.06292,0.00033,0.004,0.00217,0.00351,3e-05
28,0.94713,2.03343,0.00355,0.00323,0.00339,0.0033,3e-05
29,0.90083,2.10378,0.0002,0.00071,0.00045,0.00361,3e-05
30,0.84882,1.96504,0.00068,0.00259,0.00164,0.0047,3e-05
31,0.82255,1.91886,0.00353,0.00215,0.00284,0.00398,3e-05
32,0.89447,1.87889,0.00051,0.00218,0.00134,0.00345,3e-05
33,0.87505,1.85212,0.00096,0.00394,0.00245,0.00436,3e-05
34,0.82651,1.80465,0.00175,0.0017,0.00172,0.00446,3e-05
35,0.72607,1.80763,0.00059,0.00295,0.00177,0.00395,3e-05
36,0.79195,1.88713,0.00077,0.00109,0.00093,0.0045,3e-05
37,0.78539,1.73383,0.00078,0.0015,0.00114,0.00471,3e-05
38,0.79615,1.70718,0.0004,0.00323,0.00182,0.00431,3e-05
39,0.7123,1.76068,0.00118,0.00099,0.00109,0.00426,3e-05
40,0.72705,1.7238,0.0007,0.0023,0.0015,0.00544,3e-05
41,nan,1.69719,0.00049,0.00101,0.00075,0.00432,3e-05
42,0.67854,1.71995,0.00122,0.00264,0.00193,0.00496,3e-05
43,0.63765,1.72401,0.00034,0.00176,0.00105,0.00634,3e-05
44,0.69458,1.70769,0.00095,0.0023,0.00163,0.00621,3e-05
45,0.69672,1.71825,0.00094,0.0009,0.00092,0.00514,3e-05
46,nan,1.58585,0.00096,0.00325,0.0021,0.00629,3e-05
47,0.7463,1.55039,0.00105,0.00066,0.00085,0.00436,3e-05
48,0.67858,1.56786,0.00113,0.00154,0.00134,0.00574,3e-05
49,0.59231,1.55574,0.00144,0.00077,0.0011,0.00656,3e-05
50,0.59584,1.54399,0.00053,0.00151,0.00102,0.00872,3e-05
51,0.63665,1.52067,0.00069,0.00199,0.00134,0.00663,3e-05
52,0.55671,1.52209,0.00037,0.0034,0.00189,0.00682,3e-05
53,nan,1.56039,0.00237,0.00107,0.00172,0.00647,3e-05
54,0.6186,1.66287,0.0006,0.00087,0.00074,0.00816,3e-05
55,0.55992,1.66215,0.00066,0.00142,0.00104,0.0084,3e-05
56,0.60237,1.49908,0.00166,0.00082,0.00124,0.00778,3e-05
57,0.55944,1.49497,0.00099,0.00479,0.00289,0.00857,3e-05
