epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,19.75862,5.64155,0.0,6e-05,3e-05,0.00011,3e-05
2,9.57134,4.46052,0.00122,7e-05,0.00065,0.00024,3e-05
3,5.92009,4.50385,0.00085,7e-05,0.00046,0.00184,3e-05
4,5.01142,4.04083,0.00111,0.00015,0.00063,0.00239,3e-05
5,4.18948,3.39322,0.00135,0.00021,0.00078,0.00257,3e-05
6,3.70281,3.82008,0.00096,0.00015,0.00056,0.00267,3e-05
7,3.32847,3.47016,0.0017,0.00031,0.00101,0.0042,3e-05
8,3.43347,3.27942,0.00257,0.00034,0.00146,0.00438,3e-05
9,3.03086,3.2114,0.00158,0.00031,0.00095,0.00549,3e-05
10,3.18908,3.09173,0.00326,0.0004,0.00183,0.00428,3e-05
11,2.8935,3.14962,0.00248,0.0003,0.00139,0.00407,3e-05
12,2.52714,2.8607,0.00205,0.00042,0.00124,0.00406,3e-05
13,2.83354,2.93407,0.00481,0.00056,0.00268,0.00405,3e-05
14,2.53978,2.51582,0.00637,0.0006,0.00348,0.00425,3e-05
15,2.5509,2.48555,0.00182,0.00044,0.00113,0.00464,3e-05
16,2.25082,2.35229,0.00283,0.0006,0.00172,0.00474,3e-05
17,2.27297,2.63748,0.00366,0.00023,0.00195,0.00412,3e-05
18,1.82453,2.45652,0.00376,0.00059,0.00218,0.00413,3e-05
19,2.5437,2.60893,0.00278,0.00044,0.00161,0.00453,3e-05
20,2.01243,2.26221,0.00267,0.00029,0.00148,0.00429,3e-05
21,2.1228,2.199,0.00443,0.00054,0.00248,0.00481,3e-05
22,1.76852,2.30899,0.00564,0.00063,0.00314,0.00521,3e-05
23,1.98266,2.47727,0.00304,0.0004,0.00172,0.00458,3e-05
24,1.58949,2.40965,0.00667,0.00068,0.00367,0.00413,3e-05
25,1.78865,2.44156,0.00227,0.00034,0.0013,0.00437,3e-05
26,1.64377,2.32858,0.0028,0.00042,0.00161,0.0052,3e-05
27,1.7127,2.21124,0.00339,0.00105,0.00222,0.00486,3e-05
28,1.61094,2.23202,0.00457,0.00046,0.00251,0.00499,3e-05
29,1.70365,1.98097,0.00272,0.00051,0.00162,0.00435,3e-05
30,1.52365,1.77256,0.00644,0.00067,0.00355,0.00487,3e-05
31,1.60795,2.01444,0.00437,0.00072,0.00255,0.00438,3e-05
32,1.42749,2.00312,0.00467,0.00068,0.00267,0.0047,3e-05
33,1.63754,1.80105,0.00248,0.00067,0.00158,0.00432,3e-05
34,1.44949,1.68776,0.00562,0.00085,0.00324,0.00495,3e-05
35,1.38642,1.66949,0.00279,0.00035,0.00157,0.00475,3e-05
36,1.41354,1.56088,0.00487,0.00118,0.00302,0.00506,3e-05
37,1.50134,1.48962,0.00432,0.00087,0.0026,0.00556,3e-05
38,1.4861,1.54014,0.00453,0.00076,0.00264,0.00506,3e-05
39,1.26384,1.58482,0.00435,0.00059,0.00247,0.00491,3e-05
40,1.43822,1.58841,0.00154,0.00041,0.00098,0.00539,3e-05
41,1.1815,1.513,0.0025,0.00064,0.00157,0.00554,3e-05
42,1.27666,1.82735,0.00298,0.00069,0.00184,0.00508,3e-05
43,1.41709,1.68567,0.00453,0.00066,0.00259,0.00485,3e-05
44,1.27906,1.71677,0.0021,0.00053,0.00131,0.00541,3e-05
45,1.13329,1.48101,0.00976,0.00128,0.00552,0.00628,3e-05
46,1.04211,1.56237,0.00302,0.00123,0.00212,0.00607,3e-05
47,1.23175,1.61842,0.00327,0.00066,0.00196,0.00619,3e-05
48,1.3334,1.7265,0.00092,0.00041,0.00066,0.00624,3e-05
49,1.02467,1.74446,0.00313,0.00093,0.00203,0.00555,3e-05
50,1.13687,1.63595,0.00375,0.00048,0.00211,0.00528,3e-05
51,1.13654,1.71189,0.00264,0.00082,0.00173,0.00666,3e-05
52,1.13978,1.70841,0.00255,0.00059,0.00157,0.00555,3e-05
53,1.17512,1.50477,0.00576,0.00118,0.00347,0.00692,3e-05
54,1.37395,1.46542,0.00576,0.00085,0.0033,0.00824,3e-05
55,1.2722,1.73252,0.00672,0.00119,0.00395,0.00713,3e-05
56,1.38508,1.76244,0.00302,0.00108,0.00205,0.00643,3e-05
57,1.20049,1.79373,0.00245,0.00118,0.00182,0.00728,3e-05
58,1.29876,1.62649,0.00342,0.00098,0.0022,0.0066,3e-05
59,0.88305,1.46625,0.0042,0.00118,0.00269,0.00864,3e-05
60,0.93373,1.80172,0.00251,0.0012,0.00186,0.00647,3e-05
61,1.15967,1.8112,0.00558,0.00209,0.00384,0.0065,3e-05
62,0.95966,1.91955,0.00343,0.00137,0.0024,0.00705,3e-05
63,0.94803,1.58919,0.00459,0.00119,0.00289,0.00781,3e-05
64,0.87386,1.89746,0.00505,0.00107,0.00306,0.00696,3e-05
65,0.9699,2.25262,0.0073,0.00148,0.00439,0.00704,3e-05
66,1.00279,1.66782,0.00104,0.00091,0.00098,0.00615,3e-05
67,0.92619,1.75537,0.00309,0.00081,0.00195,0.00659,3e-05
68,0.86751,1.78047,0.00133,0.00076,0.00105,0.00698,1.5e-05
69,0.79314,1.86259,0.00173,0.00101,0.00137,0.0064,1.5e-05
70,0.60735,2.05179,0.0009,0.00045,0.00067,0.00606,1.5e-05
71,0.64774,2.16613,0.00267,0.00075,0.00171,0.00614,1.5e-05
72,0.64292,2.21749,0.00223,0.00066,0.00145,0.00566,1.5e-05
73,0.63808,2.16202,0.00171,0.00079,0.00125,0.00621,1.5e-05
74,0.67712,2.40444,0.00128,0.00093,0.00111,0.00615,1.5e-05
75,0.66028,2.47014,0.00071,0.0007,0.00071,0.00591,1.5e-05
76,0.58748,2.55989,0.00095,0.00073,0.00084,0.00649,1.5e-05
77,0.64614,2.7054,0.00121,0.0009,0.00105,0.00639,1.5e-05
78,0.88394,2.21336,0.00304,0.00065,0.00185,0.00619,1.5e-05
79,0.63115,2.15205,0.00423,0.001,0.00262,0.00652,1.5e-05
