epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,17.00388,6.03294,0.0,6e-05,3e-05,0.00024,3e-05
2,9.28305,5.50363,0.00153,7e-05,0.0008,0.00051,2.988e-05
3,6.37158,4.97997,0.00316,9e-05,0.00162,0.00047,2.953e-05
4,5.29673,4.92032,0.00136,0.00011,0.00074,0.00033,2.895e-05
5,4.53881,4.60956,0.00304,0.00011,0.00157,0.00081,2.815e-05
6,4.36652,4.1657,0.00391,0.0008,0.00235,0.00108,2.714e-05
7,4.02457,4.14661,0.00363,0.00083,0.00223,0.00111,2.595e-05
8,3.53305,3.94361,0.00343,0.0007,0.00206,0.00479,2.458e-05
9,3.31177,4.03873,0.00112,0.00063,0.00087,0.00188,2.306e-05
10,3.37148,3.79623,0.00138,0.00045,0.00091,0.0036,2.142e-05
11,3.26027,3.55284,0.00102,0.00083,0.00092,0.0026,1.967e-05
12,3.0445,3.87955,0.00115,0.00173,0.00144,0.00194,1.785e-05
13,2.93452,3.51727,0.00105,0.00159,0.00132,0.00259,1.599e-05
14,2.86051,3.42044,0.00109,0.00052,0.00081,0.00302,1.411e-05
15,2.89481,3.26417,0.001,0.00142,0.00121,0.00319,1.225e-05
16,2.59404,3.20992,0.00093,0.00064,0.00079,0.00294,1.043e-05
17,2.53666,3.31929,0.00098,0.00187,0.00143,0.00262,8.68e-06
18,2.35366,3.15169,0.0015,0.00132,0.00141,0.00314,7.04e-06
19,2.69147,3.15249,0.00181,0.00061,0.00121,0.00282,5.52e-06
20,2.24724,3.18046,0.00192,0.00064,0.00128,0.00295,4.15e-06
21,2.10165,3.17523,0.00148,0.00149,0.00148,0.00325,2.96e-06
22,2.3652,3.09937,0.00144,0.00112,0.00128,0.00351,1.95e-06
23,2.32712,3.04821,0.00168,0.00112,0.0014,0.00314,1.15e-06
24,2.03829,2.99403,0.00228,0.00069,0.00149,0.00338,5.7e-07
25,2.13262,3.17188,0.00154,0.00067,0.0011,0.00309,2.2e-07
26,2.61189,3.42997,0.00159,0.00131,0.00145,0.00362,3e-05
27,2.81608,3.1904,0.00126,0.00125,0.00125,0.00319,2.997e-05
28,2.38769,2.93423,0.00196,0.00442,0.00319,0.00327,2.988e-05
29,2.39276,3.12032,0.00061,0.00086,0.00073,0.00319,2.974e-05
30,2.26205,3.36344,0.00116,0.00011,0.00063,0.00314,2.953e-05
31,2.42382,3.42908,0.00031,0.00075,0.00053,0.00296,2.927e-05
32,2.24048,3.17332,0.00124,0.00133,0.00128,0.00316,2.895e-05
33,2.18709,2.77259,0.00199,0.00103,0.00151,0.00336,2.858e-05
34,1.94131,3.48459,0.00369,0.00684,0.00526,0.0034,2.815e-05
35,2.15406,2.69867,0.00242,0.00258,0.0025,0.00298,2.767e-05
36,1.83111,2.70193,0.00381,0.00389,0.00385,0.00376,2.714e-05
37,1.95046,2.70363,0.00061,0.00036,0.00048,0.00464,2.657e-05
38,1.80951,3.33612,0.00218,0.00031,0.00124,0.00289,2.595e-05
39,1.7185,2.76686,0.00922,0.00226,0.00574,0.00617,2.528e-05
40,1.6244,2.74777,0.00661,0.00119,0.0039,0.00398,2.458e-05
41,1.4812,2.6617,0.00172,0.00389,0.00281,0.00487,2.384e-05
42,1.65297,3.09074,0.00226,0.00029,0.00127,0.0052,2.306e-05
43,1.85307,2.65571,0.00096,0.00033,0.00065,0.0039,2.225e-05
44,1.44661,2.59901,0.00171,0.0002,0.00095,0.00538,2.142e-05
45,1.7219,2.94502,0.00108,0.00014,0.00061,0.00464,2.055e-05
46,1.40031,2.54519,0.00311,0.00043,0.00177,0.0041,1.967e-05
47,1.37036,2.47589,0.00315,0.00049,0.00182,0.00592,1.877e-05
48,1.45404,2.65457,0.00416,0.00164,0.0029,0.00551,1.785e-05
49,1.44387,2.45956,0.001,0.00034,0.00067,0.00526,1.692e-05
50,1.59241,2.68537,0.0011,0.00028,0.00069,0.00542,1.599e-05
51,1.20183,2.50254,0.00404,0.00043,0.00223,0.00551,1.505e-05
52,1.13523,2.58519,0.00201,0.00029,0.00115,0.00512,1.411e-05
53,1.23335,2.4582,0.00416,0.00035,0.00225,0.00855,1.318e-05
54,1.19358,2.44605,0.00338,0.00077,0.00207,0.0064,1.225e-05
55,1.21246,2.54547,0.00181,0.00078,0.0013,0.00637,1.133e-05
56,1.00609,2.458,0.00058,0.00054,0.00056,0.00555,1.043e-05
57,1.16105,2.50882,0.00084,0.00033,0.00058,0.00579,9.55e-06
58,1.09215,2.47677,0.0008,0.00027,0.00054,0.00619,8.68e-06
59,1.18559,2.51727,0.00163,0.00071,0.00117,0.00641,7.85e-06
60,1.00028,2.58069,0.00205,0.00146,0.00176,0.0065,7.04e-06
