epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,7.99967,4.9161,0.00055,7e-05,0.00031,0.00083,3e-06
2,4.30336,4.48878,0.00115,0.00056,0.00086,0.00195,3e-06
3,3.15554,3.91927,0.00109,0.00041,0.00075,0.00266,3e-06
4,2.63473,3.66542,0.0006,0.00031,0.00046,0.0028,3e-06
5,2.58997,3.31476,0.00109,0.00028,0.00068,0.00354,3e-06
6,2.52067,3.25904,3e-05,0.0001,6e-05,0.00308,3e-06
7,2.05299,2.96802,0.00451,0.00037,0.00244,0.00343,3e-06
8,2.1504,3.09912,0.00395,0.00031,0.00213,0.00309,3e-06
9,1.84167,2.63149,0.00352,0.00047,0.002,0.00435,3e-06
10,1.65214,2.50704,0.00076,0.00019,0.00048,0.00533,3e-06
11,1.62965,2.58924,0.00108,0.00028,0.00068,0.00496,3e-06
12,1.70028,2.37708,0.00076,0.00125,0.00101,0.00438,3e-06
13,1.45207,2.49396,0.00076,0.00086,0.00081,0.00609,3e-06
14,1.5096,2.3992,0.00135,0.00083,0.00109,0.00827,3e-06
15,1.47376,2.40967,0.00257,0.00065,0.00161,0.00844,3e-06
16,1.36841,2.13331,0.00251,0.00041,0.00146,0.00732,3e-06
17,1.24304,2.25711,0.00422,0.00022,0.00222,0.00806,3e-06
18,1.38551,2.3208,0.00096,0.0007,0.00083,0.00521,3e-06
19,1.16576,2.39446,0.00296,0.00057,0.00177,0.00701,3e-06
20,1.19896,2.29604,0.00025,0.00044,0.00035,0.00622,3e-06
21,1.10301,2.24817,0.00064,0.00082,0.00073,0.01019,3e-06
22,1.07238,2.26922,0.00031,0.00027,0.00029,0.00823,3e-06
23,1.15049,2.11451,0.00047,0.0007,0.00059,0.00952,3e-06
24,0.97137,2.26879,0.00628,0.00148,0.00388,0.00867,3e-06
25,0.9933,2.28616,0.00259,0.00047,0.00153,0.00932,3e-06
26,0.99104,2.22658,0.00102,0.00052,0.00077,0.00957,3e-06
27,0.88408,2.13521,0.00121,0.0003,0.00075,0.0091,3e-06
28,0.91536,2.00836,0.00084,0.0003,0.00057,0.00686,3e-06
29,0.98619,1.97813,0.00062,0.00042,0.00052,0.00856,3e-06
30,0.91638,2.11084,0.00098,0.00062,0.0008,0.01112,3e-06
31,0.83508,2.13566,0.00159,0.00047,0.00103,0.00972,3e-06
32,0.75778,2.27164,0.00495,0.00074,0.00284,0.0104,3e-06
33,0.68774,2.63228,0.00745,0.00056,0.004,0.01126,3e-06
34,0.72742,2.20588,0.00187,0.00072,0.0013,0.00723,3e-06
35,0.7254,2.09127,0.00199,0.00104,0.00151,0.00838,3e-06
36,0.76202,2.34072,0.00103,0.00039,0.00071,0.01068,3e-06
37,0.86603,2.20928,0.00176,0.00104,0.0014,0.00849,3e-06
38,0.6456,2.28557,0.00095,0.00043,0.00069,0.01215,3e-06
39,0.63372,2.39001,0.00108,0.00079,0.00094,0.00842,3e-06
40,0.89786,2.5035,0.00109,0.00028,0.00069,0.00769,3e-06
41,0.73074,2.3132,0.00193,0.00033,0.00113,0.00953,3e-06
42,0.67801,2.46732,0.00182,0.00098,0.0014,0.00811,3e-06
43,0.62433,2.55819,0.00151,0.00049,0.001,0.00945,1.5e-06
44,0.58274,2.52572,0.00045,0.00039,0.00042,0.00828,1.5e-06
45,0.56228,3.05728,0.00152,0.00033,0.00093,0.00902,1.5e-06
46,0.58111,2.6173,0.0012,0.00037,0.00079,0.00878,1.5e-06
47,0.53289,2.36682,0.00135,0.00086,0.00111,0.01168,1.5e-06
48,0.58393,2.54534,0.00074,0.00052,0.00063,0.01067,1.5e-06
49,0.51492,2.28874,0.00082,0.00032,0.00057,0.01149,1.5e-06
50,0.66317,2.45576,0.00055,0.00067,0.00061,0.00878,1.5e-06
51,0.56028,2.31527,0.00059,0.00064,0.00062,0.0107,1.5e-06
52,0.57555,2.53595,0.00085,0.00062,0.00074,0.01049,1.5e-06
53,0.6011,2.30907,0.00104,0.00058,0.00081,0.01001,1.5e-06
54,0.60729,2.40758,0.0004,0.00033,0.00036,0.00895,1.5e-06
