epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,2.71198,3.89702,0.00034,0.00033,0.00034,0.00111,5e-06
2,2.077,3.38551,0.00081,0.00035,0.00058,0.00207,5e-06
3,1.8805,3.14901,0.00067,0.00031,0.00049,0.00375,5e-06
4,1.73049,2.93552,0.00112,0.00044,0.00078,0.00365,5e-06
5,1.62262,2.75657,0.00063,0.00054,0.00059,0.00417,5e-06
6,1.45362,2.61378,0.00038,0.0004,0.00039,0.00541,5e-06
7,1.291,2.43791,0.00075,0.00051,0.00063,0.00532,5e-06
8,1.24594,2.412,0.00058,0.00046,0.00052,0.00515,5e-06
9,1.15708,2.18561,0.00044,0.00062,0.00053,0.00549,5e-06
10,1.09418,2.18131,0.00026,0.00041,0.00034,0.00535,5e-06
11,0.96241,2.12383,0.00027,0.00033,0.0003,0.00553,5e-06
12,0.99233,2.02556,0.00013,0.00045,0.00029,0.00528,5e-06
13,nan,2.06229,0.00023,0.00027,0.00025,0.00512,5e-06
14,0.77236,1.93777,0.00029,0.00075,0.00052,0.00662,5e-06
15,0.69408,1.88083,0.00067,0.00128,0.00097,0.00827,5e-06
16,0.65537,1.91391,0.00026,0.00066,0.00046,0.00671,5e-06
17,0.58077,1.85217,0.00073,0.00166,0.00119,0.00915,5e-06
18,nan,1.71177,0.00057,0.00386,0.00222,0.01085,5e-06
19,0.67835,1.76964,0.00067,0.00244,0.00155,0.00849,5e-06
20,nan,1.67619,0.00054,0.00082,0.00068,0.01036,5e-06
21,0.44235,1.6445,0.00096,0.00209,0.00153,0.01143,5e-06
22,0.45415,1.5603,0.00087,0.0014,0.00114,0.01319,5e-06
23,0.43433,1.60751,0.00156,0.00607,0.00381,0.01453,5e-06
24,0.43178,1.56275,0.001,0.00159,0.0013,0.01134,5e-06
25,0.40427,1.48618,0.00161,0.00352,0.00257,0.01762,5e-06
26,0.3855,1.61823,0.0013,0.00076,0.00103,0.01895,5e-06
27,0.3104,1.55865,0.0011,0.00132,0.00121,0.01664,5e-06
28,nan,1.50819,0.00257,0.00181,0.00219,0.01774,5e-06
29,0.32931,1.54559,0.00157,0.00331,0.00244,0.01613,5e-06
30,0.32964,1.5305,0.00134,0.00305,0.0022,0.01892,5e-06
31,0.2773,1.55131,0.00169,0.00588,0.00379,0.02377,5e-06
32,0.25676,1.53013,0.00097,0.00188,0.00142,0.0139,5e-06
33,0.25757,1.53871,0.00201,0.00253,0.00227,0.01723,5e-06
34,nan,1.53078,0.00186,0.00181,0.00184,0.01925,5e-06
35,0.30079,1.53517,0.00086,0.00064,0.00075,0.01607,2.5e-06
36,0.27317,1.55179,0.00132,0.00154,0.00143,0.01931,2.5e-06
37,0.24766,1.55569,0.00154,0.00199,0.00177,0.02031,2.5e-06
38,0.25521,1.44205,0.0018,0.00224,0.00202,0.0196,2.5e-06
39,0.21849,1.49659,0.00139,0.00164,0.00152,0.01699,2.5e-06
40,nan,1.59512,0.00109,0.00326,0.00218,0.01885,2.5e-06
41,0.20217,1.52911,0.00147,0.00517,0.00332,0.01905,2.5e-06
42,0.18341,1.48688,0.00141,0.00614,0.00377,0.01814,2.5e-06
43,0.18122,1.45934,0.00104,0.00139,0.00122,0.02143,2.5e-06
44,0.21136,1.55361,0.00147,0.00214,0.0018,0.01923,2.5e-06
45,0.18178,1.52315,0.0017,0.00257,0.00213,0.02211,2.5e-06
46,0.21266,1.55168,0.00095,0.00111,0.00103,0.02176,2.5e-06
47,0.17695,1.49856,0.00093,0.00245,0.00169,0.01724,2.5e-06
48,0.14104,1.45604,0.00219,0.00431,0.00325,0.02283,1.25e-06
49,0.18042,1.51843,0.00085,0.00211,0.00148,0.02144,1.25e-06
50,0.20255,1.46935,0.00168,0.00315,0.00241,0.02088,1.25e-06
51,0.22366,1.51235,0.00138,0.00347,0.00243,0.02196,1.25e-06
52,nan,1.49804,0.00117,0.00246,0.00181,0.01873,1.25e-06
53,0.19572,1.45278,0.00178,0.00459,0.00318,0.02275,1.25e-06
54,0.18804,1.49887,0.00239,0.00348,0.00294,0.01809,1.25e-06
55,0.16883,1.48931,0.00147,0.00331,0.00239,0.01843,1.25e-06
56,0.16363,1.45458,0.00129,0.00317,0.00223,0.02009,1.25e-06
57,0.15524,1.43097,0.00255,0.00477,0.00366,0.02243,6.3e-07
58,0.16625,1.45252,0.00173,0.00338,0.00255,0.0198,6.3e-07
59,0.15865,1.45896,0.00142,0.00195,0.00168,0.01885,6.3e-07
60,0.17711,1.43505,0.00252,0.00373,0.00312,0.02037,6.3e-07
61,0.17853,1.49879,0.00063,0.00103,0.00083,0.01644,6.3e-07
62,0.15376,1.44913,0.00151,0.00244,0.00197,0.01908,6.3e-07
63,0.17252,1.45193,0.00137,0.00209,0.00173,0.02043,6.3e-07
64,0.16828,1.48092,0.00136,0.00284,0.0021,0.02317,6.3e-07
65,0.15635,1.48555,0.00095,0.0018,0.00137,0.01957,6.3e-07
66,0.15038,1.47661,0.00091,0.00128,0.0011,0.01892,6.3e-07
67,0.19291,1.4828,0.00103,0.00252,0.00177,0.01916,3.1e-07
68,0.16549,1.48962,0.00162,0.00265,0.00214,0.02233,3.1e-07
69,0.14653,1.45994,0.00152,0.00418,0.00285,0.0206,3.1e-07
70,0.14347,1.47199,0.00244,0.00258,0.00251,0.02105,3.1e-07
71,0.1689,1.49628,0.00148,0.00284,0.00216,0.01958,3.1e-07
72,0.18086,1.50425,0.00161,0.00472,0.00316,0.02277,3.1e-07
73,0.15025,1.5129,0.00129,0.00405,0.00267,0.02143,3.1e-07
74,0.14669,1.53703,0.00063,0.00214,0.00138,0.01647,3.1e-07
75,0.16227,1.50646,0.00114,0.00218,0.00166,0.02205,3.1e-07
76,0.15458,1.51589,0.00189,0.00375,0.00282,0.02417,1.6e-07
77,0.1647,1.44246,0.00217,0.00289,0.00253,0.0226,1.6e-07
78,0.15555,1.48138,0.0018,0.00219,0.00199,0.02055,1.6e-07
79,0.15894,1.50037,0.00105,0.00128,0.00116,0.01964,1.6e-07
80,0.12649,1.49751,0.00139,0.00215,0.00177,0.0202,1.6e-07
81,0.16717,1.48183,0.00114,0.00332,0.00223,0.02062,1.6e-07
82,0.17077,1.48742,0.00106,0.00166,0.00136,0.01884,1.6e-07
