epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.68722,3.73062,5e-05,0.00014,0.0001,0.00058,3e-05
2,3.23852,3.57803,0.00223,0.00177,0.002,0.00138,3e-05
3,nan,3.47108,0.00229,0.00657,0.00443,0.00168,3e-05
4,2.61753,3.49117,0.00339,0.00366,0.00352,0.00153,3e-05
5,2.42363,3.54643,0.00122,0.00836,0.00479,0.00166,3e-05
6,2.32113,3.22538,0.00257,0.00669,0.00463,0.00219,3e-05
7,nan,3.20358,0.00247,0.00516,0.00381,0.0024,3e-05
8,2.05764,3.34082,0.00085,0.00106,0.00095,0.0018,3e-05
9,2.19954,3.26155,0.00324,0.00156,0.0024,0.00269,3e-05
10,1.96035,3.49978,0.00159,0.00257,0.00208,0.00328,3e-05
11,1.91176,2.85841,0.00208,0.00212,0.0021,0.00288,3e-05
12,1.73979,2.7811,0.00043,0.00269,0.00156,0.00295,3e-05
13,1.79956,3.15954,0.00323,0.00766,0.00545,0.00259,3e-05
14,1.82762,2.66426,0.00091,0.00273,0.00182,0.00324,3e-05
15,1.81131,2.57586,0.00096,0.00178,0.00137,0.00407,3e-05
16,1.61064,2.46603,0.00137,0.00506,0.00321,0.00328,3e-05
17,1.69548,2.58882,0.00138,0.00314,0.00226,0.00365,3e-05
18,1.69107,2.51974,0.00087,0.00946,0.00516,0.00329,3e-05
19,1.63583,2.51764,0.00042,0.00393,0.00218,0.00313,3e-05
20,1.51773,2.44833,0.00041,0.00323,0.00182,0.00304,3e-05
21,1.72685,2.64999,0.00058,0.00199,0.00129,0.00586,3e-05
22,nan,2.31131,0.00056,0.00243,0.00149,0.00389,3e-05
23,1.29154,2.20569,0.00071,0.00111,0.00091,0.00287,3e-05
24,nan,2.36974,9e-05,0.00187,0.00098,0.00373,3e-05
25,1.35648,2.23515,0.00232,0.01461,0.00847,0.00463,3e-05
26,1.30752,2.18451,0.00104,0.00352,0.00228,0.00384,3e-05
27,1.34515,2.2024,0.00175,0.00134,0.00154,0.00375,3e-05
28,1.27487,2.13244,0.00288,0.00525,0.00407,0.00371,3e-05
29,1.23553,2.05994,0.00092,0.00177,0.00135,0.0055,3e-05
30,1.25521,2.25944,0.00062,0.00495,0.00279,0.00404,3e-05
