epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.67177,3.49751,0.00062,6e-05,0.00034,0.00066,5e-05
2,2.87726,3.50365,0.00156,7e-05,0.00082,0.00091,5e-05
3,2.4609,3.11548,0.00201,0.00027,0.00114,0.00083,5e-05
4,2.08327,2.99854,0.00328,4e-05,0.00166,0.00106,5e-05
5,1.95757,2.804,0.00586,0.00102,0.00344,0.00154,5e-05
6,1.81235,2.66764,0.00398,0.00023,0.00211,0.00165,5e-05
7,1.75236,2.4181,0.00057,0.00026,0.00042,0.00153,5e-05
8,nan,2.38443,0.00225,0.0001,0.00117,0.00181,5e-05
9,1.62531,2.23643,0.00489,0.00016,0.00253,0.00217,5e-05
10,1.59985,2.16206,0.00487,0.00046,0.00267,0.00215,5e-05
11,1.54722,1.98195,0.00412,0.00036,0.00224,0.0026,5e-05
12,1.45617,1.97765,0.01125,0.00016,0.0057,0.00304,5e-05
13,1.35468,1.85556,0.01112,0.00048,0.0058,0.00313,5e-05
14,1.39769,1.83227,0.00445,0.00063,0.00254,0.00257,5e-05
15,1.39062,2.00283,0.01704,0.00091,0.00897,0.00358,5e-05
16,1.24637,2.0179,0.00727,0.00075,0.00401,0.00316,5e-05
17,1.34955,1.86048,0.00929,0.00192,0.0056,0.00393,5e-05
18,nan,1.94561,0.00851,0.00048,0.0045,0.00346,5e-05
19,1.25477,1.7288,0.02456,0.00081,0.01268,0.00456,2.5e-05
20,1.1652,1.65648,0.01647,0.00073,0.0086,0.00433,2.5e-05
21,1.19845,1.61075,0.01939,0.00042,0.0099,0.0048,2.5e-05
