epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,2.97578,3.41094,4e-05,0.00053,0.00029,0.00063,3e-05
2,1.88713,3.11629,1e-05,0.00094,0.00047,0.00122,3e-05
3,1.663,3.17047,1e-05,0.00029,0.00015,0.00181,3e-05
4,1.5357,2.9969,0.00081,0.00054,0.00067,0.00214,3e-05
5,1.27027,3.01326,1e-05,0.00061,0.00031,0.00194,3e-05
6,1.28244,2.71923,0.00103,0.00085,0.00094,0.00286,3e-05
7,nan,2.61811,0.0,0.00032,0.00016,0.00216,3e-05
8,1.08527,2.37076,0.00153,0.00029,0.00091,0.00241,3e-05
9,1.08732,2.40194,0.00061,0.00021,0.00041,0.0027,3e-05
10,1.01171,2.33954,0.00035,0.00094,0.00065,0.00296,3e-05
11,1.05819,2.32185,0.00015,0.00055,0.00035,0.00265,3e-05
12,0.98101,2.29993,0.00036,0.00054,0.00045,0.00235,3e-05
13,0.952,2.23511,0.00045,0.00062,0.00054,0.0024,3e-05
14,0.93923,2.37399,6e-05,0.00048,0.00027,0.00233,3e-05
15,1.0241,2.21635,0.0005,0.00029,0.0004,0.00289,3e-05
16,0.82432,2.17694,0.00135,0.00058,0.00097,0.00274,3e-05
17,0.83233,2.06345,0.00124,0.00068,0.00096,0.00345,3e-05
18,0.87823,2.27875,0.00073,9e-05,0.00041,0.0032,3e-05
19,0.76555,2.24903,0.0008,0.00105,0.00092,0.00297,3e-05
20,0.76568,2.10961,0.00173,0.00109,0.00141,0.00345,3e-05
21,0.70272,2.21738,0.00126,0.00043,0.00084,0.00399,3e-05
22,0.75595,1.99957,0.00181,0.00033,0.00107,0.00362,3e-05
23,0.73275,2.15173,0.00033,0.00047,0.0004,0.00406,3e-05
24,0.65554,2.0346,0.00033,0.00051,0.00042,0.00576,3e-05
25,0.63975,2.0989,0.00177,0.00021,0.00099,0.00541,3e-05
26,0.54459,1.87391,0.00075,0.0004,0.00057,0.00471,3e-05
27,0.55419,2.09978,0.00094,0.00027,0.0006,0.00594,3e-05
28,0.55172,1.91612,0.00112,0.00033,0.00073,0.00445,3e-05
29,0.56314,1.73052,0.00036,0.0004,0.00038,0.00612,3e-05
30,0.55877,1.92218,0.00055,0.00091,0.00073,0.00533,3e-05
31,0.52279,1.91139,0.00036,0.00055,0.00045,0.00613,3e-05
32,0.45724,1.77085,0.00036,0.0007,0.00053,0.0061,3e-05
33,0.43756,1.99257,0.00023,0.00037,0.0003,0.005,3e-05
34,0.46692,1.93971,0.00072,0.00087,0.0008,0.00572,3e-05
35,0.43415,2.37051,0.0007,0.00046,0.00058,0.00455,3e-05
36,0.44767,2.10126,0.00079,0.00043,0.00061,0.00616,3e-05
37,0.45327,2.79672,0.00092,0.00029,0.0006,0.00679,3e-05
38,0.36945,2.24249,0.0006,0.0005,0.00055,0.00638,3e-05
39,0.32657,1.99902,0.00086,0.00032,0.00059,0.00628,1.5e-05
40,0.28277,2.08604,0.00118,0.00067,0.00092,0.00659,1.5e-05
41,0.29024,2.29125,0.00068,0.00018,0.00043,0.00632,1.5e-05
42,0.28156,1.98408,0.00161,0.00026,0.00094,0.00705,1.5e-05
43,0.26089,1.96202,0.00059,0.00025,0.00042,0.00629,1.5e-05
44,0.2604,2.16942,0.00117,0.00031,0.00074,0.00536,1.5e-05
45,0.22902,2.20507,0.0006,0.00049,0.00054,0.00559,1.5e-05
46,0.22469,1.99395,0.00051,0.00029,0.0004,0.00716,1.5e-05
47,0.24375,2.18444,0.00042,0.00043,0.00043,0.00646,1.5e-05
48,nan,2.21079,0.00042,0.0003,0.00036,0.00639,7.5e-06
49,0.20633,2.10515,0.00072,0.00031,0.00051,0.00698,7.5e-06
50,0.20499,2.1341,0.00082,0.0003,0.00056,0.00667,7.5e-06
51,0.17939,2.071,0.00046,0.00035,0.0004,0.00669,7.5e-06
52,0.22326,2.13712,0.00049,0.00026,0.00038,0.00546,7.5e-06
53,0.16566,2.26304,0.00074,0.00038,0.00056,0.00637,7.5e-06
54,0.17201,2.32504,0.00038,0.00038,0.00038,0.00706,7.5e-06
