epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,43.48416,16.48333,0.00364,7e-05,0.00185,0.00082,3e-05
2,26.82002,18.20873,0.00288,0.00079,0.00183,0.00057,3e-05
3,18.66773,15.45466,0.00422,0.00094,0.00258,0.00106,3e-05
4,17.17455,13.27857,0.00666,0.00015,0.00341,0.00103,3e-05
5,15.65596,14.742,0.00244,0.0002,0.00132,0.00076,3e-05
6,14.62021,14.00383,0.00582,0.00025,0.00303,0.00099,3e-05
7,13.57118,12.26356,0.00601,0.00083,0.00342,0.00114,3e-05
8,12.3305,11.89558,0.00473,0.0001,0.00242,0.00104,3e-05
9,11.73041,12.42912,0.0036,0.00023,0.00192,0.00111,3e-05
10,11.30809,12.00451,0.0024,0.00024,0.00132,0.00094,3e-05
11,11.89504,13.24709,0.0,0.00013,7e-05,0.00097,3e-05
12,10.63978,12.05053,0.00186,0.00015,0.001,0.00099,3e-05
13,8.52297,10.72186,0.00471,0.00017,0.00244,0.00119,3e-05
14,8.41964,10.6132,0.00795,0.0001,0.00403,0.00147,3e-05
15,7.84773,10.46002,0.00266,0.00011,0.00138,0.00097,3e-05
16,7.61421,9.60051,0.00349,0.00016,0.00183,0.0009,3e-05
17,7.13443,9.0801,0.00139,0.00023,0.00081,0.00133,3e-05
18,7.4711,11.71167,0.00163,0.00058,0.00111,0.00124,3e-05
19,8.61448,9.74276,0.00471,9e-05,0.0024,0.00223,3e-05
20,7.53874,9.87429,0.00103,0.00013,0.00058,0.00164,3e-05
21,7.63505,8.94659,0.00174,0.00027,0.001,0.00167,3e-05
22,6.91505,8.30014,0.00148,0.00011,0.0008,0.0013,3e-05
23,6.47048,8.00964,0.00315,0.0001,0.00162,0.0029,3e-05
24,7.31852,9.8309,0.0051,0.00015,0.00262,0.00184,3e-05
25,7.69215,9.16967,0.00274,0.00016,0.00145,0.00193,3e-05
26,6.10243,7.45297,0.00093,0.0001,0.00051,0.00154,3e-05
27,6.32874,7.64436,0.0006,0.00046,0.00053,0.00159,3e-05
28,5.57175,6.93709,0.00081,0.00011,0.00046,0.00172,3e-05
29,5.51904,7.10205,0.00105,0.00012,0.00059,0.00224,3e-05
30,5.32841,6.97223,0.00144,0.00011,0.00077,0.00188,3e-05
31,4.97102,7.47391,0.00176,8e-05,0.00092,0.00228,3e-05
32,5.22063,7.10235,0.00102,8e-05,0.00055,0.00252,3e-05
33,5.05661,7.06573,0.00084,0.00011,0.00047,0.00182,3e-05
34,5.47401,6.44853,0.00086,0.0001,0.00048,0.00228,3e-05
35,4.60553,6.4292,0.00083,9e-05,0.00046,0.00215,3e-05
36,5.70122,6.81859,0.00143,0.00011,0.00077,0.00167,3e-05
37,4.96543,7.2663,0.00043,6e-05,0.00025,0.00287,3e-05
38,4.87459,7.43886,0.0022,0.00016,0.00118,0.00247,3e-05
39,4.96814,7.28673,0.00047,0.00015,0.00031,0.00181,3e-05
40,4.33588,6.77256,0.00084,0.00018,0.00051,0.00211,3e-05
41,4.30283,7.10153,0.00081,0.00011,0.00046,0.00191,3e-05
42,4.35128,5.85433,0.00085,0.00018,0.00052,0.00168,3e-05
43,3.98908,6.57058,0.00168,0.00039,0.00104,0.00211,3e-05
44,4.02016,5.91192,0.00081,0.00015,0.00048,0.00202,3e-05
45,3.63597,5.69028,0.00085,0.00028,0.00056,0.0028,3e-05
46,4.7895,5.47715,0.00095,9e-05,0.00052,0.00208,3e-05
47,5.05855,5.87948,0.00077,0.0001,0.00043,0.0032,3e-05
48,4.47959,5.98539,0.00153,0.00016,0.00084,0.00262,3e-05
49,6.34342,5.9262,0.00119,0.00019,0.00069,0.00297,3e-05
