epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,2.28013,2.74409,0.0022,0.00035,0.00128,0.0028,5e-06
2,1.66835,2.25483,0.00263,0.0004,0.00152,0.00451,5e-06
3,1.32021,1.9896,0.00194,0.00034,0.00114,0.00472,5e-06
4,1.17192,1.84249,0.00149,0.0004,0.00094,0.00473,5e-06
5,nan,1.67821,0.00081,0.00038,0.00059,0.00482,5e-06
6,0.93082,1.67164,0.0003,0.00033,0.00032,0.0053,5e-06
7,0.8122,1.5832,0.00117,0.00037,0.00077,0.00473,5e-06
8,0.84479,1.48759,0.00158,0.00038,0.00098,0.00552,5e-06
9,0.72725,1.41812,0.00149,0.00029,0.00089,0.00556,5e-06
10,0.69673,1.38215,0.00095,0.00032,0.00064,0.00571,5e-06
11,0.62554,1.43039,0.00071,0.00035,0.00053,0.0055,5e-06
12,0.64389,1.3439,0.00098,0.00043,0.00071,0.00835,5e-06
13,nan,1.33644,0.00117,0.00032,0.00075,0.0083,5e-06
14,0.53251,1.32784,0.00051,0.0003,0.0004,0.00875,5e-06
15,0.47479,1.29245,0.00095,0.00045,0.0007,0.01142,5e-06
16,0.50187,1.23391,0.00046,0.0006,0.00053,0.01193,5e-06
17,0.4636,1.15384,0.00052,0.00043,0.00048,0.01022,5e-06
18,0.46679,1.17345,0.00056,0.00055,0.00055,0.01294,5e-06
19,nan,1.16116,0.00052,0.00038,0.00045,0.01409,5e-06
20,0.40723,1.15108,0.00072,0.00069,0.00071,0.01812,5e-06
21,0.35315,1.14492,0.00047,0.0005,0.00048,0.01473,5e-06
22,0.29749,1.11795,0.00113,0.00114,0.00113,0.01582,5e-06
23,0.31074,1.13122,0.00146,0.00045,0.00095,0.01157,5e-06
24,0.28573,1.12001,0.00176,0.00084,0.0013,0.01623,5e-06
25,0.30592,1.21662,0.00091,0.00059,0.00075,0.01423,5e-06
26,0.28838,1.09192,0.00156,0.00064,0.0011,0.01848,5e-06
27,0.23031,1.13954,0.00243,0.00084,0.00163,0.0166,5e-06
28,0.27961,1.11872,0.00059,0.00072,0.00066,0.01359,5e-06
29,0.2357,1.1547,0.00267,0.00128,0.00197,0.01813,5e-06
30,0.2178,1.11807,0.00119,0.00062,0.0009,0.01855,5e-06
31,0.22032,1.16428,0.0041,0.00213,0.00312,0.01924,5e-06
32,0.22435,1.24059,0.00145,0.00089,0.00117,0.01776,5e-06
33,0.26029,1.17819,0.00503,0.00083,0.00293,0.01684,5e-06
34,0.20043,1.2458,0.01522,0.00105,0.00813,0.02247,5e-06
35,0.25257,1.23676,0.00508,0.00198,0.00353,0.02372,5e-06
36,0.20699,1.15912,0.00125,0.00072,0.00099,0.01846,2.5e-06
37,0.16935,1.10776,0.0022,0.00093,0.00156,0.02135,2.5e-06
38,0.15967,1.1732,0.00122,0.00113,0.00117,0.02007,2.5e-06
39,0.15493,1.14348,0.00241,0.00083,0.00162,0.01653,2.5e-06
40,0.16115,1.19507,0.00173,0.00093,0.00133,0.02147,2.5e-06
41,0.13901,1.12923,0.00149,0.00091,0.0012,0.01965,2.5e-06
42,0.16392,1.09422,0.00229,0.00089,0.00159,0.01827,2.5e-06
43,0.15489,1.18696,0.00225,0.00134,0.00179,0.02211,2.5e-06
44,0.15239,1.08237,0.00124,0.00081,0.00102,0.01573,2.5e-06
45,0.13826,1.17496,0.00131,0.00141,0.00136,0.01709,2.5e-06
46,0.13781,1.13023,0.00213,0.00093,0.00153,0.016,2.5e-06
47,0.14011,1.12285,0.00285,0.00152,0.00218,0.01817,2.5e-06
48,0.15223,1.23522,0.00206,0.00139,0.00172,0.01657,2.5e-06
49,0.11944,1.15511,0.00252,0.00146,0.00199,0.01515,2.5e-06
50,0.14224,1.20897,0.00239,0.00143,0.00191,0.01769,2.5e-06
51,0.12833,1.23729,0.00167,0.00163,0.00165,0.01916,2.5e-06
52,0.13199,1.13258,0.00224,0.00317,0.0027,0.02148,2.5e-06
53,0.12559,1.16486,0.00176,0.00148,0.00162,0.02037,2.5e-06
54,0.12536,1.16015,0.00195,0.00157,0.00176,0.02008,1.25e-06
55,0.13348,1.20404,0.00229,0.00172,0.00201,0.01939,1.25e-06
56,0.12641,1.17066,0.00183,0.00131,0.00157,0.02324,1.25e-06
57,0.12046,1.11541,0.00108,0.0013,0.00119,0.01876,1.25e-06
58,0.10376,1.12926,0.00184,0.00121,0.00152,0.02043,1.25e-06
59,0.11629,1.11677,0.00185,0.00179,0.00182,0.01911,1.25e-06
60,0.11063,1.06949,0.00179,0.00179,0.00179,0.019,1.25e-06
61,0.11732,1.10989,0.00163,0.00138,0.0015,0.01974,1.25e-06
62,0.12839,1.13092,0.00226,0.00183,0.00205,0.01842,1.25e-06
63,0.10793,1.14659,0.00122,0.00079,0.001,0.01681,1.25e-06
64,0.09855,1.15584,0.00146,0.00168,0.00157,0.01894,1.25e-06
65,0.10588,1.1471,0.002,0.002,0.002,0.01902,1.25e-06
66,0.09067,1.1372,0.00284,0.00186,0.00235,0.01817,1.25e-06
67,0.10602,1.14172,0.00241,0.00185,0.00213,0.01962,1.25e-06
68,0.11391,1.16556,0.02631,0.00187,0.01409,0.02157,1.25e-06
69,0.09754,1.10599,0.00157,0.00167,0.00162,0.01808,1.25e-06
70,0.11666,1.12382,0.00207,0.00093,0.0015,0.01711,6.3e-07
71,0.09473,1.15306,0.00218,0.00119,0.00169,0.0185,6.3e-07
72,0.13209,1.13063,0.00142,0.00095,0.00119,0.0169,6.3e-07
73,0.1004,1.16054,0.00208,0.00136,0.00172,0.01816,6.3e-07
74,nan,1.15575,0.00206,0.00149,0.00177,0.01733,6.3e-07
75,0.1121,1.14403,0.00102,0.00108,0.00105,0.01584,6.3e-07
76,0.10403,1.16112,0.00164,0.00228,0.00196,0.0184,6.3e-07
77,0.08121,1.13318,0.00156,0.00311,0.00233,0.0216,6.3e-07
78,0.08885,1.17312,0.00189,0.00291,0.0024,0.01888,6.3e-07
79,0.09188,1.13098,0.00123,0.0015,0.00136,0.01744,3.1e-07
80,0.11518,1.13222,0.00148,0.00192,0.0017,0.02013,3.1e-07
81,0.08818,1.17919,0.00264,0.00196,0.0023,0.01847,3.1e-07
82,0.08629,1.16925,0.00389,0.00152,0.00271,0.01913,3.1e-07
83,0.08778,1.17622,0.00239,0.00112,0.00176,0.01662,3.1e-07
84,0.08515,1.16867,0.0021,0.00185,0.00198,0.01854,3.1e-07
85,0.09379,1.15204,0.00184,0.00174,0.00179,0.01819,3.1e-07
