epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.59859,3.56773,0.00242,0.00224,0.00233,0.00106,3e-05
2,2.93738,3.17101,0.00179,0.00281,0.0023,0.00121,3e-05
3,2.70008,2.87815,0.00199,0.00164,0.00182,0.00356,3e-05
4,2.25111,2.88281,0.00092,0.00227,0.00159,0.00484,3e-05
5,2.14938,2.7796,0.00239,0.00574,0.00407,0.00383,3e-05
6,1.8496,2.74619,0.00085,0.00223,0.00154,0.00376,3e-05
7,1.75596,2.59237,0.00075,0.00367,0.00221,0.00368,3e-05
8,1.55405,2.79434,0.00055,0.00056,0.00055,0.00343,3e-05
9,1.65334,2.29581,0.00179,0.00461,0.0032,0.0037,3e-05
10,1.56829,2.37814,0.00111,0.00105,0.00108,0.00359,3e-05
11,1.49776,2.20329,0.00087,0.00049,0.00068,0.0036,3e-05
12,nan,2.27984,0.00046,0.0005,0.00048,0.00384,3e-05
13,1.33115,2.10884,0.00045,0.0012,0.00082,0.00408,3e-05
14,1.21408,2.04518,0.0007,0.00057,0.00064,0.00374,3e-05
15,nan,1.97626,0.0006,0.00391,0.00225,0.00385,3e-05
16,1.03008,2.03846,0.00037,0.002,0.00119,0.00451,3e-05
17,1.02662,2.04912,0.00071,0.0012,0.00096,0.00439,3e-05
18,1.05758,2.06982,0.00173,0.00221,0.00197,0.00571,3e-05
19,1.01938,2.01793,0.00052,0.00154,0.00103,0.0043,3e-05
20,1.10406,1.93104,0.00016,0.00084,0.0005,0.00602,3e-05
21,0.90038,1.71129,0.00043,0.00061,0.00052,0.0046,3e-05
22,0.96191,1.73969,0.00032,0.00143,0.00087,0.00745,3e-05
23,0.87873,1.77662,0.00034,0.00082,0.00058,0.0067,3e-05
24,0.87217,1.80616,0.0003,0.0007,0.0005,0.00489,3e-05
25,0.83754,1.80112,0.00081,0.00046,0.00064,0.00871,3e-05
26,0.93379,1.66182,0.00081,0.00199,0.0014,0.00632,3e-05
27,0.78076,1.76522,0.00048,0.00071,0.00059,0.00737,3e-05
28,0.76876,1.8954,0.00043,0.00101,0.00072,0.00597,3e-05
29,0.71238,1.77738,0.00066,0.00095,0.00081,0.00724,3e-05
30,0.67881,1.66152,0.00132,0.00164,0.00148,0.0105,3e-05
31,0.62241,1.63109,0.00127,0.00137,0.00132,0.00757,3e-05
32,0.67416,1.67847,0.00037,0.0018,0.00109,0.00681,3e-05
33,0.6474,1.75413,0.00097,0.00227,0.00162,0.00745,3e-05
34,nan,1.76388,0.00342,0.00076,0.00209,0.00751,3e-05
35,0.56298,1.71648,0.00095,0.00078,0.00087,0.00594,3e-05
36,0.6164,1.707,0.00216,0.00211,0.00214,0.00753,3e-05
37,0.60739,1.85259,0.00094,0.00109,0.00101,0.00565,3e-05
38,0.51146,1.8099,0.00049,0.0006,0.00054,0.00913,3e-05
39,0.59655,1.77878,0.00045,0.00262,0.00154,0.00889,3e-05
40,nan,1.86432,0.00012,0.00061,0.00036,0.00926,3e-05
41,0.59872,1.76636,0.00225,0.0003,0.00127,0.00926,3e-05
42,0.41084,1.83301,0.00078,0.00068,0.00073,0.01119,3e-05
43,0.41637,1.9013,0.00056,0.0008,0.00068,0.00925,3e-05
44,0.47763,1.74022,0.00142,0.00159,0.00151,0.01006,3e-05
45,0.37818,1.69257,0.00229,0.00087,0.00158,0.0094,1.5e-05
46,0.35488,1.85195,0.00063,0.00151,0.00107,0.01028,1.5e-05
47,0.38804,1.90932,0.00133,0.00061,0.00097,0.01158,1.5e-05
48,0.32019,1.77982,0.00076,0.00067,0.00072,0.00936,1.5e-05
49,0.32199,1.76284,0.00178,0.00093,0.00135,0.01063,1.5e-05
50,0.30708,1.81904,0.00121,0.00049,0.00085,0.01154,1.5e-05
51,nan,1.83495,0.00184,0.00088,0.00136,0.01032,1.5e-05
52,0.27064,1.87153,0.00116,0.00123,0.0012,0.00983,1.5e-05
53,0.29517,1.80742,0.00074,0.00099,0.00086,0.00631,1.5e-05
54,0.28136,1.80839,0.00051,0.00116,0.00084,0.0111,1.5e-05
55,0.28703,1.68117,0.00067,0.00077,0.00072,0.01043,1.5e-05
56,0.28126,1.71141,0.00046,0.00123,0.00084,0.01043,1.5e-05
