epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,13.35048,6.47964,8e-05,3e-05,6e-05,0.00084,3e-05
2,7.04539,4.89887,0.00287,0.0001,0.00149,0.0015,3e-05
3,5.31407,4.38801,0.00454,0.00014,0.00234,0.00221,3e-05
4,4.67992,6.17041,0.00047,0.00144,0.00096,0.00077,3e-05
5,4.12164,4.47998,0.00099,0.00025,0.00062,0.00168,3e-05
6,3.97388,4.16259,0.00628,0.00233,0.0043,0.00198,3e-05
7,3.63612,4.05083,0.0043,0.00286,0.00358,0.00256,3e-05
8,3.19923,3.77795,0.0033,0.00122,0.00226,0.00285,3e-05
9,3.11148,3.53641,0.00097,0.00022,0.00059,0.00482,3e-05
10,2.98522,3.37406,0.00108,0.00094,0.00101,0.00316,3e-05
11,2.66772,3.17227,0.00191,0.00071,0.00131,0.00651,3e-05
12,2.4522,3.03896,0.00203,0.0005,0.00126,0.00527,3e-05
13,2.69714,2.89942,0.00234,0.00041,0.00138,0.00408,3e-05
14,2.42662,2.88891,0.00129,0.00079,0.00104,0.00584,3e-05
15,2.23379,3.08866,0.00337,0.00394,0.00365,0.00548,3e-05
16,1.98572,3.09821,0.00178,0.00112,0.00145,0.00378,3e-05
17,2.18615,2.76607,0.00178,0.00062,0.0012,0.0048,3e-05
18,1.82492,2.94693,0.00268,0.0005,0.00159,0.0049,3e-05
19,1.83096,3.15022,0.00196,0.00033,0.00115,0.0068,3e-05
20,1.96693,2.65953,0.00165,0.00018,0.00091,0.00573,3e-05
21,1.70613,2.66671,0.00106,0.00149,0.00128,0.00476,3e-05
22,1.98012,3.11591,0.00063,0.00033,0.00048,0.00637,3e-05
23,1.53324,2.71982,0.00183,0.00031,0.00107,0.0046,3e-05
24,1.60837,2.73577,0.00354,0.00169,0.00262,0.00471,3e-05
25,1.66641,2.6155,0.0018,0.00048,0.00114,0.00556,3e-05
26,1.7377,2.77687,0.00106,0.00011,0.00058,0.00621,3e-05
27,1.60465,2.87856,0.00052,0.00016,0.00034,0.00529,3e-05
28,1.60889,2.65013,0.00057,0.0003,0.00044,0.0086,3e-05
29,1.48541,2.50191,0.00417,0.0014,0.00278,0.00716,3e-05
30,1.52281,2.63637,0.00132,0.00039,0.00085,0.00992,3e-05
31,1.4128,2.58685,0.00131,0.00053,0.00092,0.00771,3e-05
