epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.39366,3.79272,0.0,7e-05,3e-05,0.00136,3e-05
2,2.66071,4.34109,2e-05,7e-05,5e-05,0.00155,3e-05
3,2.41895,3.60178,0.00676,0.00048,0.00362,0.00228,3e-05
4,2.14929,3.56608,0.0049,0.0013,0.0031,0.00212,3e-05
5,1.9615,3.43183,0.00349,0.00226,0.00288,0.00198,3e-05
6,1.93434,3.55005,0.00324,0.00222,0.00273,0.00203,3e-05
7,1.75052,3.62517,0.00458,0.00802,0.0063,0.00306,3e-05
8,1.75431,3.23206,0.00505,0.00245,0.00375,0.00241,3e-05
9,1.74164,3.07469,0.00402,0.00459,0.00431,0.00285,3e-05
10,1.72407,3.01982,0.00295,0.00635,0.00465,0.00214,3e-05
11,1.65387,3.03705,0.00401,0.00273,0.00337,0.00282,3e-05
12,1.56886,2.96839,0.00567,0.0078,0.00674,0.00363,3e-05
13,1.56305,3.12655,0.00305,0.0056,0.00433,0.00513,3e-05
14,1.41444,2.59108,0.00527,0.00519,0.00523,0.00362,3e-05
15,1.29133,2.60479,0.00523,0.00655,0.00589,0.00402,3e-05
16,1.31915,2.57752,0.00302,0.00328,0.00315,0.00436,3e-05
17,1.42563,2.5284,0.00372,0.00161,0.00266,0.00477,3e-05
18,1.3898,2.53161,0.00443,0.00259,0.00351,0.00523,3e-05
19,nan,2.45909,0.00315,0.00325,0.0032,0.00397,3e-05
20,1.24749,2.37254,0.00333,0.00145,0.00239,0.00329,3e-05
21,1.21935,2.41683,0.00633,0.00394,0.00513,0.0048,3e-05
22,1.20257,2.42102,0.00392,0.00503,0.00447,0.00408,3e-05
23,1.1805,2.24146,0.00208,0.00335,0.00271,0.00375,3e-05
24,1.11641,2.41343,0.0013,0.00156,0.00143,0.00339,3e-05
25,1.11262,2.22519,0.0035,0.00107,0.00228,0.00506,3e-05
26,1.11294,2.163,0.00249,0.00149,0.00199,0.00428,3e-05
27,1.06255,2.18611,0.00412,0.00638,0.00525,0.00417,3e-05
28,1.13434,2.22788,0.00581,0.00636,0.00608,0.0038,3e-05
29,1.11065,2.31296,0.00354,0.00046,0.002,0.0033,3e-05
30,1.04889,2.00976,0.0054,0.00558,0.00549,0.00525,3e-05
31,nan,2.17192,0.00098,0.00286,0.00192,0.00416,3e-05
32,nan,1.9984,0.00761,0.00349,0.00555,0.00567,3e-05
33,0.96493,2.12445,0.00476,0.00158,0.00317,0.00511,3e-05
34,0.9624,2.10037,0.00486,0.00079,0.00283,0.00474,3e-05
35,1.0523,2.14626,0.00559,0.00225,0.00392,0.0055,3e-05
36,1.03175,2.09742,0.00049,0.00097,0.00073,0.0042,3e-05
37,0.97973,2.04978,0.00508,0.00192,0.0035,0.00455,3e-05
