epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,12.19558,5.32438,0.00011,2e-05,6e-05,0.00016,3e-05
2,6.63716,5.0136,0.00011,4e-05,7e-05,0.00028,3e-05
3,4.86536,4.76438,0.00439,8e-05,0.00224,0.00189,3e-05
4,4.49512,4.50962,0.00407,0.001,0.00253,0.00289,3e-05
5,4.05864,4.52249,0.00569,0.00094,0.00332,0.00449,3e-05
6,3.68565,4.14409,0.00637,0.001,0.00369,0.00221,3e-05
7,3.50401,3.86368,0.00491,0.00013,0.00252,0.00337,3e-05
8,3.20135,3.33736,0.00571,0.00087,0.00329,0.00416,3e-05
9,3.29958,3.73182,0.00196,0.00036,0.00116,0.00245,3e-05
10,2.80531,3.37373,0.00251,0.00064,0.00157,0.00238,3e-05
11,2.62595,3.36732,0.00228,0.00029,0.00128,0.00233,3e-05
12,2.78909,3.25449,0.0034,0.00033,0.00187,0.00435,3e-05
13,2.13795,3.04831,0.00398,0.00048,0.00223,0.00312,3e-05
14,2.04623,3.05651,0.00232,0.00021,0.00127,0.00317,3e-05
15,2.27847,2.83641,0.0023,0.00043,0.00136,0.00292,3e-05
16,2.2025,2.88757,0.00704,0.00038,0.00371,0.00358,3e-05
17,2.12263,2.81257,0.00944,0.00044,0.00494,0.00364,3e-05
18,1.76066,2.62115,0.01327,0.00052,0.0069,0.00465,3e-05
19,1.71605,2.73422,0.00514,0.00056,0.00285,0.00335,3e-05
20,1.85994,2.61496,0.00786,0.00044,0.00415,0.00384,3e-05
21,1.58935,2.58185,0.00909,0.00022,0.00465,0.00453,3e-05
22,1.57477,2.55599,0.00834,0.00053,0.00444,0.0038,3e-05
23,1.63536,2.65453,0.00651,0.0004,0.00345,0.00406,3e-05
24,1.51687,2.69747,0.00581,0.00015,0.00298,0.0039,3e-05
25,1.44462,2.54224,0.00563,0.00029,0.00296,0.00331,3e-05
26,1.48032,2.46898,0.00618,0.00023,0.0032,0.00373,3e-05
27,1.37803,2.51868,0.00538,0.00025,0.00282,0.00378,3e-05
28,1.24594,2.35693,0.00667,0.00036,0.00352,0.00376,3e-05
29,1.52799,2.52551,0.00742,0.00015,0.00378,0.00502,3e-05
30,1.46496,2.36033,0.01011,0.00058,0.00535,0.00635,3e-05
31,1.49926,2.39883,0.01046,0.00075,0.0056,0.00676,3e-05
32,1.30768,2.32603,0.00922,0.00077,0.00499,0.00515,3e-05
33,1.23446,2.33207,0.00964,0.00038,0.00501,0.00538,3e-05
34,1.33696,2.43462,0.00666,0.00021,0.00344,0.00475,3e-05
35,1.04699,2.42903,0.00673,0.00021,0.00347,0.00576,3e-05
36,1.03501,2.61398,0.00578,0.00017,0.00298,0.00688,3e-05
37,1.26984,2.47514,0.003,0.00027,0.00164,0.00357,3e-05
38,1.07138,2.41746,0.00929,0.00032,0.0048,0.00771,3e-05
39,0.88777,2.48356,0.0059,0.00014,0.00302,0.00745,3e-05
40,1.00916,2.43302,0.00713,0.00027,0.0037,0.00447,3e-05
41,0.96318,2.31643,0.00652,0.0002,0.00336,0.00432,3e-05
42,0.96446,2.33399,0.00489,0.00028,0.00258,0.00448,3e-05
43,0.87304,2.35439,0.00645,0.00023,0.00334,0.00527,3e-05
44,1.08946,2.30051,0.0045,0.00034,0.00242,0.00491,3e-05
45,0.98487,2.20157,0.00457,0.00045,0.00251,0.00583,3e-05
46,0.76474,2.35826,0.00495,0.00026,0.0026,0.00663,3e-05
47,0.96149,2.30497,0.00512,0.00049,0.00281,0.00585,3e-05
48,0.83186,2.44802,0.00278,0.00015,0.00146,0.00782,3e-05
49,1.12289,2.32801,0.00616,0.00024,0.0032,0.00542,3e-05
50,0.85452,2.23887,0.00462,0.00023,0.00242,0.00444,3e-05
51,0.88519,2.33871,0.00352,0.00029,0.0019,0.00479,3e-05
52,0.7301,2.29178,0.00419,0.00035,0.00227,0.00567,3e-05
53,0.79061,2.31991,0.0025,0.0005,0.0015,0.00542,3e-05
54,0.8075,2.60279,0.00574,0.00032,0.00303,0.00599,3e-05
55,0.84304,2.80107,0.00774,0.0002,0.00397,0.00604,3e-05
56,0.96105,2.58677,0.01019,0.00023,0.00521,0.00662,3e-05
57,0.71365,2.43644,0.00431,0.00033,0.00232,0.0049,3e-05
58,0.87973,2.69753,0.00331,0.00024,0.00178,0.00454,3e-05
59,0.71572,2.71219,0.00667,0.00038,0.00352,0.00581,1.5e-05
60,0.68993,2.65833,0.0033,0.00044,0.00187,0.00664,1.5e-05
61,0.61846,2.74997,0.00306,0.00036,0.00171,0.00482,1.5e-05
62,0.68837,2.73319,0.00446,0.00046,0.00246,0.0054,1.5e-05
63,0.62742,2.56783,0.00514,0.00027,0.00271,0.00564,1.5e-05
64,0.66249,2.83656,0.00402,0.00023,0.00213,0.00636,1.5e-05
65,0.56558,2.84053,0.00477,0.00056,0.00267,0.00477,1.5e-05
66,0.71895,2.64484,0.00362,0.00047,0.00205,0.00702,1.5e-05
67,0.70481,2.86942,0.00265,0.00025,0.00145,0.00604,1.5e-05
68,0.63812,2.79842,0.00165,0.00034,0.00099,0.00453,1.5e-05
69,0.74548,2.66214,0.00271,0.00035,0.00153,0.00441,1.5e-05
70,0.68745,2.90705,0.00456,0.00018,0.00237,0.0069,1.5e-05
